 Populations,2006
 Total,84.0   
 Sex,   
   Male,84.0   
   Female,83.0   
 Race/Ethnicity,   
   American Indian or Alaska Native only,83.0   
   Asian only,87.0   
   Native Hawaiian or Other Pacific Islander only,90.0   
   2 or more races,78.0   
   Hispanic or Latino,86.0   
   Not Hispanic or Latino,---   
     Black or African American only not Hispanic or Latino,82.0   
     White only not Hispanic or Latino,86.0   
 Sexual orientation,   
   Sexual orientation,DNC   
 Gender identity,   
   Gender identity,DNC   

