 Populations,2006,2007,2008,2009
 Total,80.6     CI 79.6  / 81.5,81.2     CI 80.3  / 82.2,81.8     CI 80.8  / 82.7,81.9     CI 81.0  / 82.8
 Sex,   ,   ,   ,   
   Male,79.9     CI 78.8  / 81.1,80.4     CI 79.3  / 81.5,80.9     CI 79.8  / 81.9,81.0     CI 80.0  / 82.1
   Female,82.5     CI 80.5  / 84.3,83.6     CI 81.7  / 85.4,84.6     CI 82.7  / 86.2,84.7     CI 82.9  / 86.3
 Race/Ethnicity,   ,   ,   ,   
   American Indian or Alaska Native only,77.0     CI 66.0  / 85.3,76.3     CI 65.5  / 84.5,76.2     CI 65.7  / 84.3,75.3     CI 65.2  / 83.2
   Asian only,70.4     CI 60.6  / 78.6,72.0     CI 62.7  / 80.0,72.8     CI 64.0  / 80.1,72.6     CI 64.1  / 79.7
   Native Hawaiian or Other Pacific Islander only,65.1     CI 44.4  / 81.4,68.1     CI 47.8  / 83.2,71.2     CI 51.4  / 85.3,73.5     CI 54.6  / 86.5
   Black or African American only,79.4     CI 77.8  / 81.0,80.0     CI 78.4  / 81.5,80.6     CI 79.0  / 82.0,80.6     CI 79.1  / 82.0
   White only,83.8     CI 82.1  / 85.4,84.5     CI 82.9  / 86.1,85.0     CI 83.4  / 86.5,85.2     CI 83.6  / 86.7
   2 or more races,77.7     CI 71.1  / 83.1,78.9     CI 72.5  / 84.1,79.9     CI 73.7  / 85.0,79.9     CI 73.7  / 84.9
   Hispanic or Latino,78.5     CI 75.9  / 81.0,79.3     CI 76.7  / 81.7,79.9     CI 77.4  / 82.1,80.3     CI 77.9  / 82.5
 Age group,   ,   ,   ,   
   13-24,44.0     CI 38.4  / 49.7,40.7     CI 35.6  / 46.0,40.6     CI 35.5  / 46.0,40.5     CI 35.6  / 45.6
   25-34,70.6     CI 67.7  / 73.3,71.3     CI 68.5  / 74.0,72.0     CI 69.2  / 74.7,71.9     CI 69.1  / 74.5
   35-44,83.1     CI 81.5  / 84.6,83.9     CI 82.3  / 85.4,84.5     CI 82.9  / 86.0,84.6     CI 83.0  / 86.2
   45-54,86.6     CI 85.0  / 88.1,87.7     CI 86.2  / 89.0,88.4     CI 87.0  / 89.7,88.8     CI 87.5  / 90.0
   55-64,86.9     CI 84.1  / 89.3,88.2     CI 85.7  / 90.3,89.2     CI 86.9  / 91.1,89.4     CI 87.3  / 91.2
   65 and over,85.4     CI 79.1  / 90.1,87.2     CI 81.5  / 91.2,88.2     CI 83.2  / 91.9,88.7     CI 84.2  / 92.1
 Sexual orientation,   ,   ,   ,   
   Sexual orientation,DNC   ,DNC   ,DNC   ,DNC   
 Gender identity,   ,   ,   ,   
   Gender identity,DNC   ,DNC   ,DNC   ,DNC   
 Transmission category,   ,   ,   ,   
   Men having sex with men,78.2     CI 76.6  / 79.7,78.5     CI 77.0  / 80.0,78.9     CI 77.4  / 80.3,79.1     CI 77.7  / 80.5
   Intravenous drug users male,87.7     CI 84.9  / 90.0,88.8     CI 86.1  / 91.0,89.6     CI 87.0  / 91.8,90.0     CI 87.4  / 92.1
   Intravenous drug users female,89.0     CI 85.5  / 91.7,90.1     CI 86.6  / 92.6,90.9     CI 87.5  / 93.3,91.2     CI 87.9  / 93.6
   Men having sex with men who use intravenous drug,89.3     CI 85.5  / 92.2,90.2     CI 86.5  / 92.9,90.8     CI 87.1  / 93.4,90.9     CI 87.4  / 93.6
   Heterosexual male,73.1     CI 69.0  / 76.9,74.4     CI 70.5  / 78.1,75.5     CI 71.7  / 79.0,75.6     CI 71.9  / 79.0
   Heterosexual female,79.9     CI 77.3  / 82.3,81.2     CI 78.7  / 83.5,82.3     CI 79.8  / 84.4,82.4     CI 80.1  / 84.5
   Other,90.3     CI 83.5  / 94.4,92.0     CI 85.4  / 95.7,93.6     CI 87.2  / 96.8,94.5     CI 88.3  / 97.5

