 Populations,2006-2010
 Total,45.8    SE 1.245    CI 43.4  / 48.3
 Race/Ethnicity,   
   American Indian or Alaska Native only,---   
   Asian only,DSU   
   Native Hawaiian or Other Pacific Islander only,---   
   Hispanic or Latino,45.3    SE 2.138    CI 41.1  / 49.6
   Not Hispanic or Latino,46.0    SE 1.478    CI 43.0  / 48.9
     Black or African American only not Hispanic or Latino,54.8    SE 2.277    CI 50.2  / 59.3
     White only not Hispanic or Latino,44.4    SE 1.892    CI 40.7  / 48.2
 Age group,   
   15-17,83.5    SE 3.169    CI 77.2  / 89.8
   18-24,58.4    SE 2.042    CI 54.3  / 62.4
   25-44,35.2    SE 1.620    CI 32.0  / 38.4
 Educational attainment (25 years and over),   
   < High school,28.9    SE 2.830    CI 23.3  / 34.5
   High school,34.3    SE 3.021    CI 28.3  / 40.3
   Some college,40.8    SE 3.457    CI 34.0  / 47.7
   Associates degree,31.2    SE 5.476    CI 20.3  / 42.1
   4-year college degree,40.1    SE 4.367    CI 31.4  / 48.8
   Advanced degree,37.4    SE 9.393    CI 18.7  / 56.0
 Family income (percent Federal Poverty Level),   
   <100,39.7    SE 2.947    CI 33.9  / 45.6
   100-199,40.3    SE 2.919    CI 34.5  / 46.1
   200-399,42.1    SE 2.149    CI 37.8  / 46.4
   400-499,42.1    SE 4.573    CI 33.0  / 51.1
   500+,41.4    SE 3.463    CI 34.6  / 48.3
 Family type,   
   Single,59.8    SE 1.534    CI 56.8  / 62.9
   Single parent with children,37.3    SE 6.366    CI 24.7  / 49.9
   Married couple or partners,20.3    SE 2.191    CI 16.0  / 24.7
   Two parent family with children,24.4    SE 2.812    CI 18.8  / 30.0
 Country of birth,   
   US,45.9    SE 1.402    CI 43.2  / 48.7
   Outside US,44.9    SE 2.938    CI 39.1  / 50.7
 Disability status,   
   People with activity limitations,42.8    SE 3.517    CI 35.8  / 49.8
   People without activity limitations,46.2    SE 1.321    CI 43.6  / 48.8
 Geographic location,   
   Metropolitan,47.2    SE 1.368    CI 44.5  / 49.9
   Non-metropolitan,40.3    SE 2.958    CI 34.4  / 46.1
 Health insurance status,   
   Insured,47.8    SE 1.558    CI 44.7  / 50.9
     Private,47.4    SE 1.750    CI 44.0  / 50.9
     Public,49.2    SE 3.178    CI 42.9  / 55.5
   Uninsured,42.1    SE 1.898    CI 38.3  / 45.8
 Sexual orientation,   
   Sexual orientation,   
   Heterosexual or straight,45.9    SE 1.257    CI 43.4  / 48.4
   Homosexual or gay/lesbian,DSU   
   Bisexual,DSU   
 Gender identity,   
   Gender identity,DNC   
 Marital status,   
   Cohabiting partner,22.9    SE 1.866    CI 19.2  / 26.6
   Divorced or separated,37.4    SE 3.720    CI 30.0  / 44.8
   Widowed,DSU   
   Never married,61.5    SE 1.468    CI 58.6  / 64.5

