Bureau of Justice Statistics,,
filename:hivp10f04.csv,,
"Figure 4. Rate of AIDS-related deaths in state prisons and in the U.S. general population among persons ages 15 to 54, 2001?2009",,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,
"data source:  Bureau of Justice Statistics, Deaths in Custody Reporting Program and National Prisoner Statistics-1 data collections; Center for Disease Control and Prevention, HIV/AIDS Surveillance Report and Monthly Vital Statistics Reports",,
authors:  Laura M. Maruschak ,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,
date of version: 9/7/12,,
,,
,,
"Figure 4. Rate of AIDS-related deaths in state prisons and in the U.S. general population among persons ages 15 to 54, 2001?2009",,
Year,State prisons/a,U.S. general population/b
2001,22,9
2002,20,9
2003,17,8
2004,12,8
2005,12,8
2006,10,8
2007,8,8
2008,7,7
2009,6,7
aThe number of AIDS-related deaths used to calculate the rate was based on individual reports submitted to the Deaths in Custody Reporting Program (DCRP).  ,,
bExcludes deaths reported in state prisons. See Methodology for data sources.,,
"Source: Bureau of Justice Statistics, Deaths in Custody Reporting Program and National Prisoner Statistics-1 data collections; Center for Disease Control and Prevention, HIV/AIDS Surveillance Report and Monthly Vital Statistics Reports.",,
