Bureau of Justice Statistics,,,
filename:hivp10f06.csv,,,
"Figure 6. Number of AIDS-related deaths in state prison, 2001?2010",,,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,,
"data source: Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1) and Deaths in Custody Reporting Program (DCRP).",,,
authors:  Laura M. Maruschak ,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
date of version: 9/7/12,,,
,,,
"Figure 6. Number of AIDS-related deaths in state prison, 2001?2010",,,
,In NPS-1,In DCRP,NPS-1 and DCRP
2001,256,270,311
2002,215,245,283
2003,213,210,268
2004,128,179,185
2005,121,172,176
2006,96,131,155
2007,,120,
2008,,89,
2009,,94,
2010,,72,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1) and Deaths in Custody Reporting Program (DCRP).",,,
