Bureau of Justice Statistics,,,
filename:hivp10f07.csv,,,
"Figure 7. Estimated rate of HIV/AIDS among state and federal inmates, with upper and lower limits, 2001?2010",,,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,,
"data source:  Bureau of Justice Statistics, National Prisoners Statistics Program (NPS-1)",,,
authors:  Laura M. Maruschak ,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
date of version: 9/7/12,,,
,,,
,,,
"Figure 7. Estimated rate of HIV/AIDS among state and federal inmates, with upper and lower limits, 2001?2010",,,
,upper ,interpolated,lower
2001,194.088,194.088,194.088
2002,187.961,187.687,187.342
2003,183.661,183.237,182.774
2004,174.393,174.189,174.045
2005,170.195,169.993,169.851
2006,165.252,164.857,164.257
2007,158.38,158.098,157.62
2008,156.056,156.056,156.056
2009,150.833,150.833,150.833
2010,145.878,145.769,145.654
"Source: Bureau of Justice Statistics, National Prisoners Statistics Program (NPS-1)",,,
