Bureau of Justice Statistics,,,,,,,,,,
filename:hivp10t01.csv,,,,,,,,,,
"Table 1. Inmates in custody of state and federal prison authorities and reported to be HIV positive or have confirmed AIDS, by jurisdiction, yearend 2008?2010",,,,,,,,,,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,,,,,,,,,
"data source:  Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1)",,,,,,,,,,
authors:  Laura M. Maruschak ,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
date of version: 9/7/12,,,,,,,,,,
,,,,,,,,,,
  ,,,,,,,,,,
"Table 1. Inmates in custody of state and federal prison authorities and reported to be HIV positive or have confirmed AIDS, by jurisdiction, yearend 2008?2010",,,,,,,,,,
,Total HIV/AIDS cases/a,,,,HIV/AIDS cases as a percent of total custody population/b,,,,,
Jurisdiction,"2,008","2,009",2010,,2008,,2009,,2010,
U.S. totalc,"21,611","20,880","20,093",,1.6,%,1.5,%,1.5,%
Federal,"1,538","1,590","1,578",,0.9,%,0.9,%,0.9,%
State,"20,073","19,290","18,515",,1.6,%,1.6,%,1.5,%
Alabama,275,275,252,,1.1,,1,,1,
Alaska ,13,28,/,,0.4,,0.7,,/,
Arizona,179,154,164,,0.6,,0.5,,0.5,
Arkansas,118,112,128,,0.9,,0.8,,0.9,
California,"1,402","1,235","1,098",,0.8,,0.7,,0.7,
Colorado,173,185,181,,1,,1,,1,
Connecticut,380,320,301,,2,,1.8,,1.7,
Delaware,132,71,73,,1.9,,1.1,,1.1,
Florida,"3,250","3,082","2,920",,3.6,,3.4,,3.2,
Georgia,961,951,912,,1.8,,1.8,,1.9,
Hawaii,23,24,18,,0.7,,0.8,,0.5,
Idaho,28,23,20,,0.6,,0.4,,0.4,
Illinois,457,460,487,,1,,1,,1,
Indiana,/,/,/,,/,,/,,/,
Iowa,41,28,36,,0.5,,0.3,,0.4,
Kansas,46,53,33,,0.5,,0.6,,0.4,
Kentucky,131,90,87,,1,,0.7,,0.7,
Louisiana,458,573,665,,2.2,,2.9,,3.5,
Maine,9,8,15,,0.4,,0.4,,0.8,
Maryland,588,565,722,,2.6,,2.6,,3.2,
Massachusetts,264,247,206,,2.4,,2.2,,1.8,
Michigan,341,404,233,,0.7,,0.9,,0.5,
Minnesota,44,48,47,,0.5,,0.5,,0.5,
Mississippi,246,222,254,,2,,1.9,,2.3,
Missouri,304,313,273,,1,,1,,0.9,
Montana,6,7,7,,0.4,,0.4,,0.4,
Nebraska,16,21,20,,0.4,,0.5,,0.4,
Nevada,116,132,133,,0.9,,1.1,,1.1,
New Hampshire,16,12,12,,0.6,,0.4,,0.5,
New Jersey,520,417,420,,2.3,,2,,1.9,
New Mexico,33,34,27,,0.5,,0.5,,0.4,
New York,"3,500","3,200","3,080",,5.8,,5.5,,5.5,
North Carolina,824,791,720,,2.1,,2,,1.8,
North Dakota,6,7,9,,0.4,,0.5,,0.6,
Ohio,414,379,381,,0.8,,0.8,,0.8,
Oklahoma,139,146,155,,0.8,,0.8,,0.9,
Oregond,55,66,63,,0.4,,0.5,,0.5,
Pennsylvania,727,782,703,,1.5,,1.6,,1.5,
Rhode Island,54,48,47,,1.4,,1.4,,1.5,
South Carolina,409,418,412,,1.7,,1.8,,1.8,
South Dakota,13,11,11,,0.4,,0.3,,0.3,
Tennessee,188,195,219,,1.3,,1.3,,1.5,
Texas,"2,450","2,414","2,394",,1.8,,1.7,,1.7,
Utah,36,38,35,,0.7,,0.7,,0.6,
Vermont,14,17,3,,1,,1.1,,0.2,
Virginia,433,433,306,,1.4,,1.5,,1,
Washington,79,78,75,,0.5,,0.5,,0.4,
West Virginia,25,19,25,,0.5,,0.4,,0.5,
Wisconsin,132,145,128,,0.6,,0.7,,0.6,
Wyoming,5,9,5,,0.4,,0.6,,0,
Northeast,"5,484","5,051","4,787",,3.2,%,3,%,2.9,%
Midwest,"1,814","1,869","1,658",,0.8,%,0.8,%,0.7,%
South,"10,627","10,357","10,244",,2,%,2,%,2,%
West,"2,148","2,013","1,826",,0.7,%,0.7,%,0.6,%
Note: Excludes inmates held in private facilities.,,,,,,,,,,
/Not reported.,,,,,,,,,,
aCounts published in previous reports may have been revised.  ,,,,,,,,,,
bExcludes data from Alaska due to incomplete reporting.,,,,,,,,,,
cExcludes inmates in jurisdictions that did not report data.,,,,,,,,,,
"dThe number of HIV/AIDS cases in Oregon was based on a 3/9/09 count for 2008, a 7/20/2010 count for 2009, and a 6/28/11 count for 2010.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1).",,,,,,,,,,
