Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:hivp10t02.csv,,,,,,,,,,,,,,,
"Table 2. Inmates in custody of state and federal prison authorities and reported to be HIV positive or have confirmed AIDS, by jurisdiction, yearend 2009 and 2010",,,,,,,,,,,,,,,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,,,,,,,,,,,,,,
"data source:   Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1)",,,,,,,,,,,,,,,
authors:  Laura M. Maruschak ,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
date of version: 9/7/12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,
"Table 2. Inmates in custody of state and federal prison authorities and reported to be HIV positive or have confirmed AIDS, by jurisdiction, yearend 2009 and 2010",,,,,,,,,,,,,,,
,Male ,,,,,,,,Female ,,,,,,
,Number,,,Percent,,,,,Number,,,Percent,,,
Jurisdiction,2009,2010,,2009,,2010,,,2009,2010,,2009,,2010,
U.S. total*,"19,027","18,337",,1.5,%,1.4,%,,"1,853","1,756",,1.9,%,1.9,%
Federal,"1,495","1,498",,0.9,%,0.9,%,,95,80,,0.8,%,0.7,%
State,"17,532","16,839",,1.6,%,1.5,%,,"1,758","1,676",,2.1,%,2,%
Alabama,260,236,,1.1,%,1,%,,15,16,,0.9,%,1,%
Alaska,20,/,,0.6,,/,,,8,/,,1.5,,/,
Arizona,135,154,,0.5,,0.5,,,19,10,,0.5,,0.3,
Arkansas,101,121,,0.8,,0.9,,,11,7,,1.1,,0.6,
California,"1,146","1,023",,0.7,,0.7,,,89,75,,0.8,,0.8,
Colorado,160,159,,1,,1,,,25,22,,1.3,,1.1,
Connecticut,268,261,,1.6,,1.6,,,52,40,,4.8,,3.9,
Delaware,63,65,,1,,1.1,,,8,8,,1.7,,1.8,
Florida,"2,749","2,636",,3.2,,3.1,,,333,284,,6.3,,5.3,
Georgia,864,832,,1.7,,1.8,,,87,80,,2.3,,2.1,
Hawaii,18,14,,0.7,,0.5,,,6,4,,1.2,,0.7,
Idaho,19,16,,0.4,,0.4,,,4,4,,0.6,,0.5,
Illinois,411,439,,1,,1,,,49,48,,1.9,,1.6,
Indiana,/,/,,/,,/,,,/,/,,/,,/,
Iowa,27,31,,0.3,,0.4,,,1,5,,0.1,,0.6,
Kansas,48,29,,0.6,,0.3,,,5,4,,0.9,,0.6,
Kentucky,81,78,,0.7,,0.7,,,9,9,,1,,0.7,
Louisiana,488,599,,2.6,,3.3,,,85,66,,7.7,,6.1,
Maine,8,15,,0.4,,0.8,,,0,0,,0,,0,
Maryland,533,658,,2.5,,3,,,32,64,,3.1,,6.6,
Massachusetts,230,192,,2.2,,1.8,,,17,14,,2.4,,1.8,
Michigan,385,231,,0.9,,0.5,,,19,2,,1.1,,0.1,
Minnesota,45,43,,0.5,,0.5,,,3,4,,0.5,,0.7,
Mississippi,196,221,,1.9,,2.2,,,26,33,,1.8,,2.6,
Missouri,309,259,,1.1,,0.9,,,4,14,,0.2,,0.6,
Montana,7,7,,0.5,,0.5,,,0,0,,0,,0,
Nebraska,19,19,,0.5,,0.5,,,2,1,,0.5,,0.2,
Nevada,111,118,,1,,1,,,21,15,,2.2,,1.6,
New Hampshire,12,12,,0.4,,0.5,,,0,0,,0,,0,
New Jersey,385,389,,1.9,,1.9,,,32,31,,3.6,,3.7,
New Mexico,33,27,,0.6,,0.4,,,1,0,,0.2,,0,
New York,"2,930","2,820",,5.2,,5.2,,,270,260,,10.8,,11.7,
North Carolina,716,650,,1.9,,1.7,,,75,70,,2.6,,2.5,
North Dakota,7,9,,0.6,,0.7,,,0,0,,0,,0,
Ohio,350,355,,0.8,,0.8,,,29,26,,0.7,,0.7,
Oklahoma,136,146,,0.9,,0.9,,,10,9,,0.4,,0.4,
Oregon,61,59,,0.5,,0.5,,,5,4,,0.5,,0.4,
Pennsylvania,720,629,,1.5,,1.4,,,62,74,,2.4,,2.9,
Rhode Island,40,40,,1.2,,1.3,,,8,7,,4.3,,3.9,
South Carolina,391,388,,1.8,,1.8,,,27,24,,1.8,,1.6,
South Dakota,11,9,,0.4,,0.3,,,0,2,,0,,0.5,
Tennessee,181,199,,1.3,,1.4,,,14,20,,1.2,,1.7,
Texas,"2,182","2,153",,1.7,,1.6,,,232,241,,2.3,,2.3,
Utah,32,30,,0.7,,0.6,,,6,5,,1.1,,0.9,
Vermont,17,3,,1.2,,0.2,,,0,0,,0,,0,
Virginia,398,275,,1.5,,1,,,35,31,,1.5,,1.3,
Washington,72,70,,0.5,,0.4,,,6,5,,0.5,,0.4,
West Virginia,18,23,,0.4,,0.5,,,1,2,,0.2,,0.4,
Wisconsin,131,93,,0.6,,0.4,,,14,35,,1.1,,2.8,
Wyoming,8,4,,0.6,,0.2,,,1,1,,0.5,,0.5,
Northeast,"4,610","4,361",,2.9,%,2.8,%,,441,426,,5.2,%,5.3,%
Midwest,"1,743","1,517",,0.8,%,0.7,%,,126,141,,0.8,%,0.9,%
South,"9,357","9,280",,1.9,%,1.9,%,,"1,000",964,,2.7,%,2.5,%
West,"1,822","1,681",,0.7,%,0.6,%,,191,145,,0.8,%,0.7,%
Note: Excludes inmates held in private facilities.,,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,,
*Excludes inmates in jurisdictions that did not report HIV/AIDS infection by sex.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program (NPS-1).",,,,,,,,,,,,,,,
