Bureau of Justice Statistics,,,,,,,,
filename:hivp10t05.csv,,,,,,,,
"Table 5. AIDS-related deaths among state prison inmates in custody, by demographic characteristics, 2008-2010",,,,,,,,
"report title: HIV in Prisons, 2001-10  NCJ 238877",,,,,,,,
"data source:  Bureau of Justice Statistics Deaths in Custody Reporting Program (DCRP), National Prisoners Statistics (NPS-1)",,,,,,,,
authors:  Laura M. Maruschak ,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
date of version: 9/7/12,,,,,,,,
,,,,,,,,
,,,,,,,,
"Table 5. AIDS-related deaths among state prison inmates in custody, by demographic characteristics, 2008-2010",,,,,,,,
,,Number of AIDS-related deaths/a,,,,"Rate of AIDS-related deaths per 100,000 inmates/b",,
Characteristics,,2008,2009,2010,,2008,2009,2010
,State total,89,94,72,,7,7,5
Sex,,,,,,,,
,Male,78,89,69,,6,7,6
,Female,11,5,3,,12,5,3
Race/Hispanicc ,,,,,,,,
,Whited,21,15,23,,4,3,5
,Blackd,57,70,43,,27,33,21
,Hispanic,10,8,5,,2,1,1
Age,,,,,,,,
,19 or younger,0,0,0,,0,0,0
,20?24,0,3,1,,0,1,0
,25?34,9,4,11,,2,1,3
,35?44,21,29,22,,5,7,5
,45?54,43,38,25,,23,20,13
,55 or older,16,20,13,,24,30,20
Note: Includes deaths in a private facilities.,,,,,,,,
aBased on individual reports submitted to the program.,,,,,,,,
"bTo calculate the age rates, the number of state prisoners by age was first estimated by applying the age distribution reported in the 2004 Survey of Inmates in State Correctional Facilities to the 2008?2010 midyear custody counts in NPS-1.",,,,,,,,
cDetail does not sum to total because deaths among those of other races are excluded.,,,,,,,,
dExcludes persons of Hispanic/Latino origin.,,,,,,,,
"Source: Bureau of Justice Statistics Deaths in Custody Reporting Program (DCRP), National Prisoner Statistics Program (NPS-1).",,,,,,,,
