Bureau of Justice Statistics,,,,,,
filename: mhppjiext04.csv,,,,,,
Exhibit table 4. Mental health problems and substance dependence or abuse among prison and local jail inmates,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version: 09-06-06,,,,,,

Exhibit table 4. Mental health problems and substance dependence or abuse among prison and local jail inmates,,,,,,
,Percent of inmates in —,,,,,
Mental health problems and substance dependence or abuse,State prison,,Federal prison,,Local jail,
Both,41.7,%,28.5,%,48.7,%
Dependence or abuse only,24.4,,27.3,,18.9,
Mental problems only,14.5,,16.3,,15,
None,19.5,,27.8,,17.3,
