Bureau of Justice Statistics,,,,,,,,,
filename: mhppjiht01.csv,,,,,,,,,
"Highlights table 1. Selected characteristics of State prison and local jail inmates, by mental health status",,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
date of version: 09-06-06,,,,,,,,,

"Highlight table 1. Selected characteristics of State prison and local jail inmates, by mental health status",,,,,,,,,
,,Percent of inmates in —,,,,,,,
,,State prison,,,,Local jail,,,
Selected characteristics,,With mental problem,,Without,,With mental problem,,Without,
Criminal record,,,,,,,,,
,Current or past violent offense,61,%,56,%,44,%,36,%
,3 or more prior incarcerations,25,,19,,26,,20,
Substance dependence or abuse,,74,%,56,%,76,%,53,%
Drug use in month before arrest,,63,%,49,%,62,%,42,%
Family background,,,,,,,,,
,Homelessness in year before arrest,13,%,6,%,17,%,9,%
,Past physical or sexual abuse,27,,10,,24,,8,
,Parents abused alcohol or drugs,39,,25,,37,,19,
Charged with violating facility rules*,,58,%,43,%,19,%,9,%
,Physical or verbal assault,24,,14,,8,,2,
Injured in a fight since admission,,20,%,10,%,9,%,3,%
*Includes items not shown. ,,,,,,,,,
