Bureau of Justice Statistics,,,,,,,,
filename: mhppjit01.csv,,,,,,,,
Table 1. Recent history and symptoms of mental health problems among prison and jail inmates,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,
date of version: 09-06-06,,,,,,,,

Table 1. Recent history and symptoms of mental health problems among prison and jail inmates,,,,,,,,
,,,Percent of inmates in —,,,,,
Mental health problem,,,State prison,,Federal prison,,Local jail,
,Any mental health problem,,56.2,%,44.8,%,64.2,%
Recent history of mental health problem/a ,,,24.3,%,13.8,%,20.6,%
,Told had disorder by mental health professional ,,9.4,,5.4,,10.9,
,Had overnight hospital stay ,,5.4,,2.1,,4.9,
,Used prescribed medications,,18,,10.3,,14.4,
,Had professional mental health therapy,,15.1,,8.3,,10.3,
Symptoms of mental health disorders/b,,,49.2,%,39.8,%,60.5,%
,Major depressive disorder,,23.5,,16,,29.7,
,Mania disorder,,43.2,,35.1,,54.5,
,Psychotic disorder,,15.4,,10.2,,23.9,
"Note: Includes inmates who reported an impairment due to a mental problem. Data are based on the Survey of Inmates in State and Federal  Correctional Facilities, 2004, and the Survey of Inmates in Local Jails, 2002. See Methodology for details on survey sample. ",,,,,,,,
"See References for sources on measuring symptoms of mental disorder based on a Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV).",,,,,,,,
a/In year before arrest or since admission.,,,,,,,,
b/In the 12 months prior to the interview.,,,,,,,,
