Bureau of Justice Statistics,,,,,,,,,,,,,
filename: mhppjit10.csv,,,,,,,,,,,,,
"Table 10. Criminal record of prison and jail inmates, by mental health status",,,,,,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version: 09-06-06,,,,,,,,,,,,,

"Table 10. Criminal record of prison and jail inmates, by mental health status",,,,,,,,,,,,,
,,Percent of inmates in —,,,,,,,,,,,
,,State prison ,,,,Federal  prison ,,,,Local jail,,,
Criminal record,,With mental problem,,Without,,With mental problem,,Without,,With mental problem,,Without,
No prior sentence,,20.5,%,27,%,32.2,%,36.9,%,34.9,%,43.3,%
,Current violent offense,13.4,,16.9,,5.1,,4.9,,12.1,,13.8,
,Current drug offense,3.1,,5.1,,15.2,,21.6,,8.8,,12.6,
,Current other offense,4.1,,5,,11.9,,10.4,,14,,16.8,
Violent recidivist,,47.4,%,39.2,%,27.5,%,23.8,%,31.9,%,22.4,%
,Current and prior violent,17.2,,13.4,,7.4,,4.4,,9.9,,6.8,
,Current violent only,17.7,,15.3,,4.9,,4.4,,11.4,,6.9,
,Prior violent only,12.5,,10.4,,15.3,,15,,10.5,,8.7,
Nonviolent recidivist,,32,%,33.8,%,40.3,%,39.2,%,33.2,%,34.3,%
,Prior drugs only,3,,4,,7.1,,9.5,,3,,3.4,
,Other prior offenses,29,,29.8,,33.2,,29.8,,30.2,,30.9,
Note: Excludes inmates for whom offense and prior probation or incarceration sentences were unknown.,,,,,,,,,,,,,
