Bureau of Justice Statistics,,,,,,,,,,
filename: mhppjit12.csv,,,,,,,,,,
"Table 12. Mean maximum sentence length and mean total time expected to serve, by mental health status and offense",,,,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
date of version: 09-06-06,,,,,,,,,,

"Table 12. Mean maximum sentence length and mean total time expected to serve, by mental health status and offense",,,,,,,,,,
,,,Mean maximum sentence length/a,,,,Mean total time expected to serve until release/b,,,
Most serious offense           ,,,With mental problem,,Without,,With mental problem,,Without,
State prison inmates,,,,,,,,,,
,,All offenses/c,146,mos,141,mos,93,mos,89,mos
,Violent ,,212,,211,,139,,138,
,Property ,,103,,96,,60,,58,
,Drug ,,84,,94,,48,,50,
,Public-order,,81,,66,,51,,40,
Federal prison inmates,,,,,,,,,,
,,All offenses/c,128,mos,135,mos,99,mos,106,mos
,Violent ,,174,,202,,119,,131,
,Property ,,70,,53,,63,,58,
,Drug ,,131,,139,,103,,112,
,Public-order,,102,,100,,87,,83,
Local jail inmates,,,,,,,,,,
,,All offenses/c,40,mos,45,mos,14,mos,18,mos
,Violent ,,67,,73,,18,,31,
,Property ,,41,,36,,16,,14,
,Drug ,,40,,59,,18,,25,
,Public-order,,16,,16,,7,,8,
a/Based on the total maximum sentence for all consecutive sentences. Excludes inmates for whom offense was unknown.,,,,,,,,,,
b/Based on time served when interviewed and time to be served until the expected date of release. Excludes inmates for whom admission date or expected release date were unknown.,,,,,,,,,,
c/Includes other offenses not shown.
