Bureau of Justice Statistics,,,,,,
filename: mhppjit15.csv,,,,,,
"Table 15. Mental health treatment received by all State prison inmates, 2004 and 1997",,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version: 09-06-06,,,,,,

"Table 15. Mental health treatment received by all State prison inmates, 2004 and 1997",,,,,,
,,,Percent of State prison inmates,,,
,Type of mental health treatment ,,2004,,1997,
Ever any mental health treatment,,,31.2,%,28.3,%
,Had overnight stay,,12.2,,10.7,
,Used prescribed medications,,23.9,,18.9,
,Had professional mental therapy,,21.6,,21.8,
,Had other mental health treatment,,3.6,,3.3,
Received treatment after admission,,,19.3,%,17.4,%
,Had overnight stay,,3.1,,3.8,
,Used prescribed medications,,15.1,,12.3,
,Had professional mental therapy,,12.7,,12.3,
,Had other mental health treatment,,1.9,,1.9,
,,Number of inmates,"1,226,171",,"1,059,607",
