Bureau of Justice Statistics,,,,,,,
filename: mhppjitt01.csv,,,,,,,
Text table 1. Recent history and symptoms of mental health problems among prison and jail inmates,,,,,,,
report title: Mental Health Problems of Prison and Jail Inmates  NCJ 213600,,,,,,,
"data source: Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Inmates in Local Jails, 2002",,,,,,,
authors: Doris J. James and Lauren E. Glaze,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
date of version: 09-06-06,,,,,,,

Text table 1. Recent history and symptoms of mental health problems among prison and jail inmates ,,,,,,,
,,Percent of inmates in —,,,,,
Mental health problem,,State prison,,Federal prison,,Local jail,
Any mental problem,,56,%,45,%,64,%
,Recent history,24,,14,,21,
,Symptoms,49,,40,,60,
