Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename: mppt02.csv,,,,,,,,,,,,,,,
"Table 2. Medical problems reported by prison inmates by gender and age, 2004",,,,,,,,,,,,,,,
report title: Medical Problems of Prisoners   NCJ 221740,,,,,,,,,,,,,,,
data source:  2004 Survey of State and Federal Correctional Facilities,,,,,,,,,,,,,,,
author:  Laura M. Maruschak,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
date of version: 4/15/08,,,,,,,,,,,,,,,

"Table 2. Medical problems reported by prison inmates by gender and age, 2004",,,,,,,,,,,,,,,
,,,Gender,,,,,Age,,,,,,,
Current medical problem, All inmates ,,Male ,,Female,,,24 or younger,, 25-34,, 35-44,,45 or older,
State inmates,,,,,,,,,,,,,,,
Arthritis,15.3,%,14.6,%,24.5,%,,5.4,%,8.6,%,17.4,%,32.6,%
Asthma,9.1,,8.4,,19.2,,,10.1,,9.1,,8.3,,9.6,
Cancer,0.9,,0.8,,2.4,,,0.1,,0.3,,0.6,,2.8,
Diabetes,4,,3.9,,5.5,,,0.4,,1.5,,4.1,,11.3,
Heart problems,6.1,,5.9,,9,,,2.7,,4.1,,5.7,,13.3,
Hypertension,13.8,,13.6,,16.8,,,3.4,,8,,15.4,,30.6,
Kidney problems,3.2,,2.9,,6.9,,,1.5,,2.2,,3.6,,5.7,
Liver problems,1.1,,1.1,,1.3,,,0.1,,0.4,,1.4,,2.9,
Paralysis,1.4,,1.4,,1.4,,,0.5,,1,,1.8,,2.4,
Stroke,2.6,,2.5,,3.7,,,1.3,,1.7,,3.1,,4.6,
Hepatitis,5.3,,5,,9.5,,,0.9,,2.4,,6.8,,11.7,
HIV,1.6,,1.6,,1.9,,,0.3,,0.8,,2.5,,2.6,
Sexually transmitted disease,0.8,,0.7,,2,,,0.6,,0.7,,1.1,,0.7,
Tuberculosis*,9.4,,9.6,,6.1,,,4,,6.5,,11.5,,15.8,
Federal inmates,,,,,,,,,,,,,,,
Arthritis,12.4,%,11.5,%,23.8,%,,3.8,%,5.7,%,10.8,%,28.3,%
Asthma,7.2,,6.7,,13.7,,,10.5,,5.5,,7.9,,7.8,
Cancer,0.6,,0.6,,1,,,0,,0.1,,0.4,,2,
Diabetes,5.1,,5,,6.9,,,0.7,,2,,4.2,,12.9,
Heart problems,6,,5.7,,10,,,2.2,,3.9,,4.4,,12.8
Hypertension,13.2,,12.6,,20.7,,,2.1,,7.5,,11.5,,28.4
Kidney problems,3.1,,2.8,,6.9,,,1.8,,2.1,,2.7,,5.5
Liver problems,1.1,,1.1,,1.1,,,0,,0.3,,1.2,,2.9
Paralysis,1.6,,1.6,,1.5,,,0.2,,1.6,,1.3,,2.6
Stroke,1.7,,1.6,,2.9,,,0.1,,1.1,,1.5,,3.7
Hepatitis,4.2,,4.2,,4.5,,,0,,1.9,,5.6,,7.9
HIV,1,,1,,1.4,,,0.7,,0.4,,1.9,,1.1
Sexually transmitted disease,0.4,,0.4,,0.4,,,0.5,,0.5,,0.5,,0.2
Tuberculosis*,7.1,,7.2,,6.2,,,2.7,,5.7,,8,,10.1
*Includes all inmates who reported ever having TB.,,,,,,,,,,,,,,
