Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename: mppt04.csv,,,,,,,,,,,,,,,,,
"Table 4. Impairments reported by prison inmates by gender and age, 2004",,,,,,,,,,,,,,,,,
report title: Medical Problems of Prisoners   NCJ 221740,,,,,,,,,,,,,,,,,
data source:  2004 Survey of State and Federal Correctional Facilities,,,,,,,,,,,,,,,,,
author:  Laura M. Maruschak,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
date of version: 4/15/08,,,,,,,,,,,,,,,,,

"Table 4. Impairments reported by prison inmates by gender and age, 2004",,,,,,,,,,,,,,,,,
,,Percent of inmates who reported an impairment,,,,,,,,,,,,,,,
,,,,Physical,,,,,,,,,,,,,
,,Any impairment,,Total,,Learning,,Speech,,Hearing,,Vision,,Mobility*,,Mental,
State inmates,,,,,,,,,,,,,,,,,
Total,,36.2,%,34.3,%,23.3,%,3.8,%,7,%,10.3,%,2.5,%,5.9,%
Gender,,,,,,,,,,,,,,,,,
,Male,36.2,%,34.5,%,23.6,%,3.9,%,6.9,%,10.2,%,2.5,%,5.6,%
,Female,36.8,,32,,18.7,,2.6,,7.6,,12,,2.1,,11,
Age,,,,,,,,,,,,,,,,,
,24 or younger,34.7,%,33.4,%,28,%,3.4,%,3.1,%,6,%,0.8,%,5.1,%
,25-34,34.4,,32.5,,24.6,,3.6,,5.1,,7.2,,1.4,,5.9,
,35-44,36,,33.6,,23.4,,3.9,,7.2,,10.3,,2.5,,6.5,
,45 or older,41.2,,39.5,,16.4,,4.2,,13.4,,19.4,,6.1,,5.9,
Federal inmates,,,,,,,,,,,,,,,,,
Total,,24.4,%,23.4,%,12.7,%,1.5,%,5,%,8.6,%,2.3,%,3,%
Gender,,,,,,,,,,,,,,,,,
,Male,24.3,%,23.3,%,12.9,%,1.5,%,4.9,%,8.4,%,2.2,%,2.8,%
,Female,26.1,,24,,10,,2,,6.6,,10.8,,3.2,,5.3,
Age,,,,,,,,,,,,,,,,,
,24 or younger,22.6,%,22.3,%,16.8,%,2.9,%,2.5,%,5,%,0.5,%,2.9,%
,25-34,20.5,,19.2,,13.2,,0.6,,3.2,,5.5,,1,,2.7,
,35-44,22.5,,22,,12.9,,1.4,,4.6,,8.1,,1.6,,2.6,
,45 or older,33.8,,32.1,,10.1,,2.8,,9.4,,15.4,,6,,3.9
"*Includes use of a cane, wheelchair, walker, hearing aid, or other aids in daily activity.",,,,,,,,,,,,,,,,
