Bureau of Justice Statistics,,,,,,,,,,
Filename: sce8210at02.csv,,,,,,,,,,
"Appendix table 2. Components of state corrections expenditures, FY 1982–2010",,,,,,,,,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,,,,,,,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
Date of version: 12/10/2012,,,,,,,,,,
,,,,,,,,,,
"Appendix table 2. Components of state corrections expenditures, FY 1982–2010",,,,,,,,,,
,,Institutional current operations ,,,Institutional capital outlay ,,,Other corrections ,,
Year,Total corrections (in billions),Expenditures (in billions),Percent of total corrections,,Expenditures (in billions),Percent of total corrections,,Expenditures (in billions),Percent of total corrections,
1982,15,9.7,64.7,%,1.5,10.0,%,3.8,25.3,%
1983,16.5,10.6,64.2,,1.4,8.5,,4.5,27.3,
1984,18.1,11.8,65.6,,1.9,10.6,,4.3,23.9,
1985,20.6,13.4,65.0,,2.2,10.7,,5.0,24.3,
1986,23.5,14.5,61.7,,3.2,13.6,,5.8,24.7,
1987,24.6,15.9,64.6,,2.6,10.6,,6.1,24.8,
1988,27.1,17.5,64.6,,3.5,12.9,,6.1,22.5,
1989,29.5,18.9,64.1,,3.9,13.2,,6.7,22.7,
1990,32.4,21.0,64.8,,4.1,12.7,,7.3,22.5,
1991,35.1,22.8,65.0,,4.6,13.1,,7.7,21.9,
1992,35.8,23.7,66.2,,3.7,10.3,,8.4,23.5,
1993,36.2,24.8,68.5,,3.0,8.3,,8.4,23.2,
1994,39.2,26.7,68.1,,3.3,8.4,,9.2,23.5,
1995,43,29.2,67.9,,4.0,9.3,,9.8,22.8,
1996,44.2,30.8,69.7,,3.0,6.8,,10.4,23.5,
1997,46.1,32.7,70.9,,2.7,5.9,,10.7,23.2,
1998,47.8,33.7,70.5,,3.2,6.7,,10.9,22.8,
1999,49.6,34.7,70.0,,3.4,6.9,,11.5,23.2,
2000,50.8,35.6,70.1,,3.1,6.1,,12.1,23.8,
2001,53.5,38.3,71.6,,2.7,5.0,,12.5,23.4,
2002,53.4,38.2,71.5,,2.3,4.3,,12.9,24.2,
2003,51.7,37.9,73.3,,1.8,3.5,,12.0,23.2,
2004,49.7,36.5,73.4,,1.5,3.0,,11.7,23.5,
2005,48.4,35.7,73.8,,1.8,3.7,,10.9,22.5,
2006,48.4,36.4,75.2,,1.5,3.1,,10.5,21.7,
2007,49.9,37.3,74.7,,1.9,3.8,,10.7,21.4,
2008,50.7,38.0,75.0,,1.8,3.6,,10.9,21.5,
2009/a,51.4,38.6,75.1,,2.0,3.9,,10.8,21.0,
2010/b,48.5,37.3,76.9,,1.3,2.7,,10.0,20.4,
"Note: Government expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 dollars, as appropriate for state spending. See Methodology. ",,,,,,,,,,
a/Data on expenditures for 2009 are preliminary.,,,,,,,,,,
b/Data on total corrections expenditures for 2010 are preliminary.  The categories of corrections expenditures are estimates based on total corrections expenditures and previous years’ expenditures.  See Methodology.,,,,,,,,,,
"Source: U.S. Census Bureau, Annual Survey of State Government Finances, 1982–2010. ",,,,,,,,,,
