Bureau of Justice Statistics,,,
Filename: sce8210at04.csv,,,
"Appendix table 4. Type of change in per capita institutional operations expenditures, by state and year change began, FY 1999-2010",,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,
Author: Tracey Kyckelhahn,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
Date of version: 12/10/2012,,,
,,,
"Appendix table 4. Type of change in per capita institutional operations expenditures, by state and year change began, FY1 999-2010",,,
Trends and state groupings,,,
Decrease then increase,,Year increase began,
,Alaska,2008,
,Arizona,2009,
,Colorado,2010,
,Delaware,2005,
,Hawaii,2004,
,Minnesota,2008,
,Mississippi,2008,
,New Mexico,2004,
,North Carolina,2010,
,Oregon,2006,
,South Carolina,2010,
,Tennessee,2005,
,Virginia,2007,
,Wisconsin,2006,
Increase then decrease,,Year decrease began,
,New Jersey,2007,
Increase to decrease to increase,,Year decrease began,Year increase began
,Illinois,2001,2008
,Indiana,2001,2009
,Nebraska,2000,2008
,New Hampshire,2002,2008
,New York,2004,2005
,Texas,2001,2008
,Vermont,2001,2008
,Wyoming,2003,2007
Decrease to increase to decrease,,Year increase began,Year decrease began
,Alabama,2001,2008
,South Dakota,2001,2009
No pattern,,,
,Arkansas,,
,Georgia,,
,Kentucky,,
,Louisiana,,
,Massachusetts,,
,Missouri,,
,Washington,,
"Note: Government expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 dollars, as appropriate for state spending. See Methodology. Excludes Utah and West Virginia due to data quality issues. ",,,
"Source: U.S. Census Bureau,  Survey of State Government Finances, 1982–2000; and Bureau of Justice Statistics, National Prisoner Statistics Program, 1982–2000.",,,
