Bureau of Justice Statistics,,,,,,
Filename: sce8210f01.csv,,,,,,
"Figure 1. Selected components of state expenditures, FY 1982-2010",,,,,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,,,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
Date of version: 12/10/2012,,,,,,
,,,,,,
"Figure 1. Selected components of state expenditures, FY 1982-2010",,,,,,
Year,Health and hospitals,Education,Highway,Public welfare,Corrections as a percent of total,Other
'82,7.1,33.2,8.1,,1.9,
,7.1,32.2,7.9,,2.0,
'84,7.1,33.1,8.2,,2.2,
,7.1,32.9,8.5,,2.3,
'86,7.1,33.0,8.6,,2.5,
,7.0,32.9,8.4,,2.6,
'88,7.2,32.9,8.4,,2.7,
,7.3,33.0,8.1,,2.9,
'90,7.5,32.3,7.7,,3.0,
,7.3,31.3,7.5,,3.1,
'92,7.1,30.1,7.0,,2.9,
,7.2,29.8,6.9,,2.8,
'94,7.3,29.7,6.9,,3.0,
,7.2,29.8,6.9,23.3,3.1,29.8
'96,7.2,30.7,6.8,22.8,3.2,29.4
,7.1,30.8,6.7,22.7,3.3,29.4
'98,6.9,31.7,6.8,22.4,3.3,28.9
,6.8,31.9,6.8,22.2,3.3,29.0
'00,6.9,32.0,6.9,22.0,3.2,29.0
,6.6,31.6,6.6,22.2,3.2,29.8
'02,6.9,30.4,6.6,22.5,3.0,30.7
,6.5,30.3,6.3,23.1,2.9,30.9
'04,6.4,30.6,6.0,24.2,2.8,29.9
,6.3,30.9,6.2,25.1,2.8,28.9
'06,6.2,31.1,6.4,24.3,2.8,29.3
,6.5,31.4,6.3,24.0,2.8,28.9
'08,6.6,31.5,6.2,23.7,2.9,29.1
,6.5,31.0,5.9,24.0,2.8,29.8
'10,6.3,29.4,5.7,23.9,2.5,32.2
"Note: Expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 dollars, ass apropriate for state spending.  See Methodology.",,,,,,
*Information on public welfare was available from 1005 to 2010.,,,,,,
"Source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,,,
