Bureau of Justice Statistics,,,,
Filename: sce8210f02.csv,,,,
"Figure 2. Components of state corrections expenditures, FY 1982-2010",,,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,
Author: Tracey Kyckelhahn,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
Date of version: 12/10/2012,,,,
,,,,
"Figure 2. Components of state corrections expenditures, FY 1982-2010",,,,
Year,Total corrections (in thousands,Institutional current operations (in thousands),Institutional capital outlay (in thousands),Other corrections
'82,15.0,9.7,1.5,3.8
,16.5,10.6,1.4,4.5
'84,18.1,11.8,1.9,4.4
,20.6,13.4,2.2,5.1
'86,23.5,14.5,3.2,5.9
,24.6,15.9,2.6,6.0
'88,27.1,17.5,3.5,6.1
,29.5,18.9,3.9,6.7
'90,32.4,21.0,4.1,7.3
,35.1,22.8,4.6,7.7
'92,35.8,23.7,3.7,8.5
,36.2,24.8,3.0,8.4
'94,39.2,26.7,3.3,9.1
,43.0,29.2,4.0,9.9
'96,44.2,30.8,3.0,10.4
,46.1,32.7,2.7,10.7
'98,47.8,33.7,3.2,10.9
,49.6,34.7,3.4,11.5
'00,50.8,35.6,3.1,12.1
,53.5,38.3,2.7,12.6
'02,53.4,38.2,2.3,13.0
,51.7,37.9,1.8,11.9
'04,49.7,36.5,1.5,11.7
,48.4,35.7,1.8,10.5
'06,48.4,36.4,1.5,10.1
,49.9,37.3,1.9,10.3
'08,50.7,38.0,1.8,10.9
,51.4,38.6,2.0,10.8
'10,48.5,37.3,1.3,10.0
"Note: Expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 dollars, ass apropriate for state spending.  See Methodology.",,,,
"Source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,
