Bureau of Justice Statistics,
Filename: sce8210f04.csv,
"Figure 4. Type of change in per capita institutional operations expenditures, by state, FY 1999-2010",
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",
Author: Tracey Kyckelhahn,
Refer questions to: askbjs@usdoj.gov   202-307-0765,
Date of version: 12/10/2012,
,
"Figure 4. Type of change in per capita institutional operations expenditures, by state, FY 1999-2010",
Year,Institutional current operations (in thousands)
'82,9.7
,10.6
'84,11.8
,13.4
'86,14.5
,15.9
'88,17.5
,18.9
'90,21.0
,22.8
'92,23.7
,24.8
'94,26.7
,29.2
'96,30.8
,32.7
'98,33.7
,34.7
'00,35.6
,38.3
'02,38.2
,37.9
'04,36.5
,35.7
'06,36.4
,37.3
'08,38.0
,38.6
'10,37.3
Note: See appendix table 4 for year change began by state.,
"Source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",
