Bureau of Justice Statistics,,,,
Filename: sce8210t01.csv,,,,
"Table 1. Distribution of state spending on institutional capital outlay as a percent of total corrections spending, FY 1982–2010 ",,,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010",,,,
Author: Tracey Kyckelhahn,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
Date of version: 12/10/2012,,,,
,,,,
"Table 1. Distribution of state spending on institutional capital outlay as a percent of total corrections spending, FY 1982–2010 ",,,,
Year,Number of states spending between 0% and 5%,Number of states spending between 5% and 10%,Number of states spending between 10% and 20%,Number of states spending 20% or more
1982,19,7,16,8
1983,19,15,9,7
1984,19,10,15,6
1985,11,20,13,6
1986,18,11,9,12
1987,21,12,11,6
1988,15,15,13,7
1989,20,5,18,7
1990,16,12,15,7
1991,20,9,15,6
1992,22,11,14,3
1993,23,13,9,5
1994,32,9,8,1
1995,29,14,6,1
1996,25,18,6,1
1997,28,14,7,1
1998,24,16,7,3
1999,28,10,6,6
2000,30,10,8,2
2001,33,10,7,0
2002,39,9,2,0
2003,40,8,2,0
2004,43,6,1,0
2005,42,4,3,1
2006,42,5,2,1
2007,41,4,5,0
2008,38,8,2,2
2009/a,39,7,3,1
2010/b,42,7,1,0
a/Data on expenditures for 2009 are preliminary.,,,,
b/Data on total corrections expenditures for 2010 are preliminary. See Methodology.  ,,,,
"Source: U.S. Census Bureau,  Annual Survey of State Government Finances, 1982–2010.",,,,
