Bureau of Justice Statistics,,,
Filename: sce8210t03.csv,,,
"Table 3. Change in per capita institutional current operations expenditures, by states with linear increases and decreases, FY 1999-2010",,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,
"Data source: U.S. Census Bureau,  Survey of State Government Finances, 1982–2010; and Bureau of Justice Statistics, National Prisoner Statistics Program, 1982–2010.",,,
Author: Tracey Kyckelhahn,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
Date of version: 12/10/2012,,,
,,,
"Table 3. Change in per capita institutional current operations expenditures, by states with linear increases and decreases, FY 1999-2010",,,
Trends and state groupings,,,
Linear decrease,,,Yearly per capita decrease 
,Connecticut,$,524 
,Florida,,"1,186"
,Idaho,,"1,232"
,Iowa,,"1,169"
,Kansas,,"1,046"
,Maine,,602
,Michigan,,"1,010"
,Nevada,,646
,Ohio,,"1,294"
,Pennsylvania,,"1,371"
,Rhode Island,,"1,948"
Linear increase,,,Yearly per capita increase
,California,$,"1,014 "
,Maryland,,"1,897"
,Montana,,"1,852"
,North Dakota,,880
,Oklahoma,,742
"Note: Government expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 dollars, as appropriate for state spending. See Methodology. Excludes Utah and West Virginia due to data quality issues. ",,,
"Source: U.S. Census Bureau,  Survey of State Government Finances, 1982–2000; and Bureau of Justice Statistics, National Prisoner Statistics Program, 1982–2000.",,,
